Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Voorhees Twp Police Dept,NJ,12,29251,51,2,4,14,31,617,134,466,17,174.4,6.8,13.7,47.9,106,2109.3,458.1,1593.1,58.1
Wall Twp Police Dept,NJ,12,26319,22,0,0,2,20,361,83,269,9,83.6,0,0,7.6,76,1371.6,315.4,1022.1,34.2
Wallington Police Dept,NJ,12,11465,8,0,0,4,4,211,60,141,10,69.8,0,0,34.9,34.9,1840.4,523.3,1229.8,87.2
Wanaque Police Dept,NJ,12,11188,2,0,0,0,2,103,6,97,0,17.9,0,0,0,17.9,920.6,53.6,867,0
Warren Twp Police Dept,NJ,12,15455,1,0,1,0,0,132,47,79,6,6.5,0,6.5,0,0,854.1,304.1,511.2,38.8
Washington Twp (Gloucester Co) Police Dept,NJ,12,48940,67,0,3,29,35,1139,178,920,41,136.9,0,6.1,59.3,71.5,2327.3,363.7,1879.9,83.8
Washington Twp (Morris Co) Police Dept,NJ,12,18728,4,0,0,1,3,85,15,67,3,21.4,0,0,5.3,16,453.9,80.1,357.8,16
Waterford Twp Police Dept,NJ,12,10693,18,0,2,1,15,168,40,113,15,168.3,0,18.7,9.4,140.3,1571.1,374.1,1056.8,140.3
Wayne Police Dept,NJ,12,55071,40,0,0,13,27,1227,189,993,45,72.6,0,0,23.6,49,2228,343.2,1803.1,81.7
Weehawken Police Dept,NJ,12,12758,20,0,0,10,10,280,48,196,36,156.8,0,0,78.4,78.4,2194.7,376.2,1536.3,282.2
West Caldwell Twp Police Dept,NJ,12,10828,4,0,0,3,1,97,12,73,12,36.9,0,0,27.7,9.2,895.8,110.8,674.2,110.8
West Deptford Twp Police Dept,NJ,12,21847,15,0,0,7,8,441,104,316,21,68.7,0,0,32,36.6,2018.6,476,1446.4,96.1
West Milford Police Dept,NJ,12,26019,18,1,3,1,13,305,78,216,11,69.2,3.8,11.5,3.8,50,1172.2,299.8,830.2,42.3
West New York Police Dept,NJ,12,50507,196,0,8,93,95,733,195,487,51,388.1,0,15.8,184.1,188.1,1451.3,386.1,964.2,101
West Orange Twp Police Dept,NJ,12,46505,68,2,0,31,35,654,148,436,70,146.2,4.3,0,66.7,75.3,1406.3,318.2,937.5,150.5
West Windsor Twp Police Dept,NJ,12,27363,5,0,0,3,2,503,68,422,13,18.3,0,0,11,7.3,1838.2,248.5,1542.2,47.5
Westfield Police Dept,NJ,12,30637,6,0,1,2,3,298,50,243,5,19.6,0,3.3,6.5,9.8,972.7,163.2,793.2,16.3
Westwood Boro Police Dept,NJ,12,11033,5,0,0,1,4,68,10,53,5,45.3,0,0,9.1,36.3,616.3,90.6,480.4,45.3
Willingboro Police Dept,NJ,12,31844,111,0,16,53,42,676,200,446,30,348.6,0,50.2,166.4,131.9,2122.8,628.1,1400.6,94.2
Winslow Twp Police Dept,NJ,12,39660,122,0,3,35,84,704,224,458,22,307.6,0,7.6,88.3,211.8,1775.1,564.8,1154.8,55.5
Woodbridge Police Dept,NJ,12,100612,122,0,3,55,64,1967,338,1514,115,121.3,0,3,54.7,63.6,1955,335.9,1504.8,114.3
Woodbury Police Dept,NJ,12,10251,43,2,2,18,21,560,98,438,24,419.5,19.5,19.5,175.6,204.9,5462.9,956,4272.8,234.1
West Paterson Police Dept,NJ,12,11895,13,2,0,9,2,168,48,117,3,109.3,16.8,0,75.7,16.8,1412.4,403.5,983.6,25.2
Woolwich Twp Police Dept,NJ,12,10278,1,0,0,0,1,68,27,40,1,9.7,0,0,0,9.7,661.6,262.7,389.2,9.7
Wyckoff Police Dept,NJ,12,16885,6,0,0,3,3,135,29,100,6,35.5,0,0,17.8,17.8,799.5,171.8,592.2,35.5
Beckley Police Dept,WV,12,17675,189,6,21,55,107,1588,335,1221,32,1069.3,33.9,118.8,311.2,605.4,8984.4,1895.3,6908.1,181
Berkeley County Sheriff Department,WV,12,,81,1,10,23,47,1322,363,905,54,,,,,,,,,
Bluefield Police Dept,WV,5,10482,22,0,0,2,20,61,13,42,6,,,,,,,,,
Cabell County Sheriff Department,WV,12,,45,0,4,13,28,794,229,517,48,,,,,,,,,
Charleston Police Dept,WV,11,51178,475,6,30,86,353,2634,551,1957,126,,,,,,,,,
Clarksburg Police Dept,WV,12,16649,112,1,10,10,91,665,110,532,23,672.7,6,60.1,60.1,546.6,3994.2,660.7,3195.4,138.1
Fairmont Police Dept,WV,10,18764,28,0,7,7,14,205,86,112,7,,,,,,,,,
Fayette County Sheriff Department,WV,12,,71,5,2,13,51,472,201,237,34,,,,,,,,,
Greenbrier County Sheriff Office,WV,12,,6,0,2,0,4,94,23,63,8,,,,,,,,,
Harrison County Sheriff Department,WV,12,,46,0,0,2,44,313,94,197,22,,,,,,,,,
Huntington City Police Dept,WV,12,49254,251,2,30,132,87,2944,1022,1783,139,509.6,4.1,60.9,268,176.6,5977.2,2075,3620,282.2
Jefferson County Sheriff Department,WV,12,,28,0,0,5,23,390,22,361,7,,,,,,,,,
Kanawha County Sheriff Department,WV,10,,158,8,5,13,132,1181,439,650,92,,,,,,,,,
Logan County Sheriff Office,WV,12,,43,3,1,0,39,39,10,23,6,,,,,,,,,
Marion County Sheriff Office,WV,10,,12,0,0,0,12,10,1,8,1,,,,,,,,,
Martinsburg Police Dept,WV,12,17487,89,0,3,33,53,886,127,732,27,508.9,0,17.2,188.7,303.1,5066.6,726.3,4186,154.4
Mercer County Sheriff Department,WV,12,,60,1,2,9,48,488,241,204,43,,,,,,,,,
Monongalia County Sheriff Department,WV,11,,88,0,5,5,78,299,50,237,12,,,,,,,,,
Morgantown Police Dept,WV,12,30294,107,1,4,26,76,823,175,632,16,353.2,3.3,13.2,85.8,250.9,2716.7,577.7,2086.2,52.8
Parkersburg Police Dept,WV,12,31558,146,1,17,22,106,1698,433,1199,66,462.6,3.2,53.9,69.7,335.9,5380.6,1372.1,3799.4,209.1
Preston County Sheriff Office,WV,12,,53,0,3,1,49,161,48,100,13,,,,,,,,,
Putnam County Sheriff Office,WV,12,,158,0,4,4,150,423,116,289,18,,,,,,,,,
Raleigh County Sheriff Department,WV,12,,144,3,15,42,84,1215,573,569,73,,,,,,,,,
South Charleston Police Dept,WV,12,13396,74,0,3,15,56,492,66,411,15,552.4,0,22.4,112,418,3672.7,492.7,3068.1,112
St. Albans Police Dept,WV,12,11001,24,0,0,9,15,459,81,354,24,218.2,0,0,81.8,136.4,4172.3,736.3,3217.9,218.2
Vienna Police Dept,WV,12,10770,13,0,1,3,9,294,19,271,4,120.7,0,9.3,27.9,83.6,2729.8,176.4,2516.2,37.1
Wayne County Sheriff Department,WV,12,,42,0,3,2,37,150,61,82,7,,,,,,,,,
Weirton Police Dept,WV,12,19652,17,0,2,2,13,308,61,231,16,86.5,0,10.2,10.2,66.2,1567.3,310.4,1175.5,81.4
Wheeling Police Dept,WV,12,28356,245,0,17,42,186,767,265,455,47,864,0,60,148.1,655.9,2704.9,934.5,1604.6,165.7
Wood County Sheriff Department,WV,12,,77,0,6,6,65,287,89,178,20,,,,,,,,,
Amherst Police Dept,NH,12,11251,4,0,3,0,1,220,18,201,1,35.6,0,26.7,0,8.9,1955.4,160,1786.5,8.9
Bedford Police Dept,NH,12,21297,8,0,1,1,6,393,43,343,7,37.6,0,4.7,4.7,28.2,1845.3,201.9,1610.6,32.9
Claremont Police Dept,NH,12,13293,39,1,6,2,30,477,66,397,14,293.4,7.5,45.1,15,225.7,3588.4,496.5,2986.5,105.3
Concord Police Dept,NH,12,42815,92,0,22,19,51,1272,182,1063,27,214.9,0,51.4,44.4,119.1,2970.9,425.1,2482.8,63.1
Conway Police Dept,NH,12,10096,45,0,6,9,30,438,59,370,9,445.7,0,59.4,89.1,297.1,4338.4,584.4,3664.8,89.1
Derry Police Dept,NH,12,33284,60,0,8,5,47,793,182,574,37,180.3,0,24,15,141.2,2382.5,546.8,1724.6,111.2
Dover Police Dept,NH,12,30226,36,1,8,9,18,623,87,528,8,119.1,3.3,26.5,29.8,59.6,2061.1,287.8,1746.8,26.5
Durham Police Dept,NH,12,14712,21,0,5,0,16,116,18,96,2,142.7,0,34,0,108.8,788.5,122.3,652.5,13.6
Exeter Town Police Dept,NH,12,14380,16,0,8,1,7,155,19,129,7,111.3,0,55.6,7,48.7,1077.9,132.1,897.1,48.7
Goffstown Police Dept,NH,12,17723,8,0,1,2,5,244,48,194,2,45.1,0,5.6,11.3,28.2,1376.7,270.8,1094.6,11.3
Hampton Police Dept,NH,12,15510,25,0,7,1,17,318,40,261,17,161.2,0,45.1,6.4,109.6,2050.3,257.9,1682.8,109.6
Hanover Police Dept,NH,12,11265,11,0,8,0,3,230,16,212,2,97.6,0,71,0,26.6,2041.7,142,1881.9,17.8
Hooksett Police Dept,NH,12,13489,22,0,5,5,12,431,49,376,6,163.1,0,37.1,37.1,89,3195.2,363.3,2787.5,44.5
Hudson Municipal Police Dept,NH,12,24574,30,0,6,5,19,423,68,335,20,122.1,0,24.4,20.3,77.3,1721.3,276.7,1363.2,81.4
Keene Police Dept,NH,12,23399,61,0,6,13,42,831,114,688,29,260.7,0,25.6,55.6,179.5,3551.4,487.2,2940.3,123.9
Laconia Police Dept,NH,12,16016,60,0,10,8,42,714,120,575,19,374.6,0,62.4,50,262.2,4458,749.3,3590.2,118.6
Lebanon Police Dept,NH,12,13145,39,0,10,8,21,432,43,384,5,296.7,0,76.1,60.9,159.8,3286.4,327.1,2921.3,38
Londonderry Police Dept,NH,12,24257,25,0,3,3,19,407,71,320,16,103.1,0,12.4,12.4,78.3,1677.9,292.7,1319.2,66
Manchester Police Dept,NH,12,110040,624,1,72,205,346,3848,849,2848,151,567.1,0.9,65.4,186.3,314.4,3496.9,771.5,2588.1,137.2
Merrimack Police Dept,NH,12,25606,6,0,0,1,5,223,33,181,9,23.4,0,0,3.9,19.5,870.9,128.9,706.9,35.1
Milford Police Dept,NH,12,15181,32,0,3,8,21,333,43,275,15,210.8,0,19.8,52.7,138.3,2193.5,283.2,1811.5,98.8
Nashua Police Dept,NH,12,86870,204,0,37,48,119,2361,375,1902,84,234.8,0,42.6,55.3,137,2717.9,431.7,2189.5,96.7
Pelham Town Police Dept,NH,12,12954,11,0,1,1,9,217,40,168,9,84.9,0,7.7,7.7,69.5,1675.2,308.8,1296.9,69.5
Portsmouth Police Dept,NH,12,20888,34,0,5,11,18,588,60,512,16,162.8,0,23.9,52.7,86.2,2815,287.2,2451.2,76.6
Raymond Police Dept,NH,12,10190,23,1,8,1,13,185,38,142,5,225.7,9.8,78.5,9.8,127.6,1815.5,372.9,1393.5,49.1
Rochester Police Dept,NH,12,29992,75,0,7,19,49,1094,131,934,29,250.1,0,23.3,63.4,163.4,3647.6,436.8,3114.2,96.7
Salem Police Dept,NH,12,28926,38,2,6,12,18,902,88,771,43,131.4,6.9,20.7,41.5,62.2,3118.3,304.2,2665.4,148.7
Somersworth Police Dept,NH,12,11862,53,0,12,12,29,573,62,501,10,446.8,0,101.2,101.2,244.5,4830.6,522.7,4223.6,84.3
Windham Police Dept,NH,12,13664,15,0,7,1,7,141,28,108,5,109.8,0,51.2,7.3,51.2,1031.9,204.9,790.4,36.6
Boulder City Police Dept,NV,12,15364,12,0,0,3,9,218,94,117,7,78.1,0,0,19.5,58.6,1418.9,611.8,761.5,45.6
Carson City Sheriffs Dept,NV,12,,132,0,0,14,118,1107,298,731,78,,,,,,,,,
Douglas County Sheriff Office,NV,12,,53,1,6,6,40,829,144,656,29,,,,,,,,,
Elko Police Dept,NV,12,18788,118,5,26,7,80,836,209,541,86,628.1,26.6,138.4,37.3,425.8,4449.6,1112.4,2879.5,457.7
Henderson Police Dept,NV,12,263469,445,4,61,172,208,5295,1408,3386,501,168.9,1.5,23.2,65.3,78.9,2009.7,534.4,1285.2,190.2
Las Vegas Metropolitan Police Department,NV,12,1479393,11598,76,596,3824,7102,46427,14220,25522,6685,784,5.1,40.3,258.5,480.1,3138.2,961.2,1725.2,451.9
Lyon County Sheriff Office,NV,12,,141,1,17,12,111,1028,294,662,72,,,,,,,,,
Mesquite City Police Dept,NV,12,15625,17,0,4,3,10,302,72,216,14,108.8,0,25.6,19.2,64,1932.8,460.8,1382.4,89.6
North Las Vegas Police Dept,NV,12,221884,1695,14,73,389,1219,5534,1557,3022,955,763.9,6.3,32.9,175.3,549.4,2494.1,701.7,1362,430.4
Nye County Sheriff Office,NV,12,,258,0,11,26,221,1147,334,687,126,,,,,,,,,
Reno Police Dept,NV,12,230486,1192,7,33,327,825,7423,1633,4909,881,517.2,3,14.3,141.9,357.9,3220.6,708.5,2129.8,382.2
Sparks Police Dept,NV,12,92387,234,1,32,68,133,2559,609,1710,240,253.3,1.1,34.6,73.6,144,2769.9,659.2,1850.9,259.8
Washoe County Sheriff Office,NV,12,,188,4,8,10,166,956,335,523,98,,,,,,,,,
Beatrice Police Dept,NE,12,12388,37,0,9,2,26,452,104,342,6,298.7,0,72.7,16.1,209.9,3648.7,839.5,2760.7,48.4
Bellevue City Police Dept,NE,12,51678,55,1,20,13,21,1142,155,890,97,106.4,1.9,38.7,25.2,40.6,2209.8,299.9,1722.2,187.7
Columbus Police Dept,NE,12,22537,20,0,7,2,11,475,68,389,18,88.7,0,31.1,8.9,48.8,2107.6,301.7,1726.1,79.9
Douglas County Sheriff Office,NE,12,,100,0,8,5,87,1207,331,777,99,,,,,,,,,
Fremont Police Dept,NE,12,26641,29,0,10,1,18,693,104,555,34,108.9,0,37.5,3.8,67.6,2601.3,390.4,2083.3,127.6
Grand Island Police Dept,NE,12,49583,162,0,40,21,101,2305,367,1859,79,326.7,0,80.7,42.4,203.7,4648.8,740.2,3749.3,159.3
Hastings Police Dept,NE,12,24961,57,0,24,10,23,911,149,726,36,228.4,0,96.1,40.1,92.1,3649.7,596.9,2908.5,144.2
Kearney Police Dept,NE,12,31392,42,1,15,3,23,867,118,733,16,133.8,3.2,47.8,9.6,73.3,2761.9,375.9,2335,51
Lavista Police Dept,NE,12,16242,10,0,5,3,2,262,36,192,34,61.6,0,30.8,18.5,12.3,1613.1,221.6,1182.1,209.3
Lancaster County Sheriff Department,NE,12,,24,1,9,2,12,370,130,232,8,,,,,,,,,
Lexington Police Dept,NE,12,10329,16,0,7,0,9,306,79,219,8,154.9,0,67.8,0,87.1,2962.5,764.8,2120.2,77.5
Lincoln Police Dept,NE,12,264175,1050,3,182,197,668,10171,1616,8244,311,397.5,1.1,68.9,74.6,252.9,3850.1,611.7,3120.7,117.7
Norfolk City Police Dept,NE,12,24418,28,0,18,0,10,820,108,675,37,114.7,0,73.7,0,41,3358.2,442.3,2764.4,151.5
North Platte Police Dept,NE,12,24806,65,0,19,7,39,1118,121,953,44,262,0,76.6,28.2,157.2,4507,487.8,3841.8,177.4
Omaha Police Dept,NE,12,417970,2485,41,187,815,1442,19178,3311,13120,2747,594.5,9.8,44.7,195,345,4588.4,792.2,3139,657.2
Papillion Police Dept,NE,12,19466,8,0,2,1,5,444,36,388,20,41.1,0,10.3,5.1,25.7,2280.9,184.9,1993.2,102.7
Sarpy County Sheriff Department,NE,12,,18,0,8,5,5,695,101,544,50,,,,,,,,,
Scotts Bluff Police Dept,NE,12,15174,19,0,4,3,12,576,77,480,19,125.2,0,26.4,19.8,79.1,3796,507.4,3163.3,125.2
South Sioux Police Dept,NE,12,13386,21,0,3,5,13,369,50,299,20,156.9,0,22.4,37.4,97.1,2756.6,373.5,2233.7,149.4
Billings Police Dept,MT,12,106371,370,3,38,68,261,4812,793,3608,411,347.8,2.8,35.7,63.9,245.4,4523.8,745.5,3391.9,386.4
Bozeman Police Dept,MT,12,38289,98,1,30,8,59,1326,134,1136,56,255.9,2.6,78.4,20.9,154.1,3463.1,350,2966.9,146.3
Flathead County Sheriff Department,MT,12,,150,0,12,5,133,1258,318,878,62,,,,,,,,,
Gallatin County Sheriff Department,MT,12,,52,0,16,1,35,380,54,309,17,,,,,,,,,
Great Falls Police Dept,MT,12,59360,151,1,10,25,115,2788,320,2338,130,254.4,1.7,16.8,42.1,193.7,4696.8,539.1,3938.7,219
Helena Police Dept,MT,12,28791,127,0,26,12,89,1015,122,861,32,441.1,0,90.3,41.7,309.1,3525.4,423.7,2990.5,111.1
Kalispell Police Dept,MT,12,20147,69,1,17,7,44,894,90,770,34,342.5,5,84.4,34.7,218.4,4437.4,446.7,3821.9,168.8
Lewis & Clark County Sheriff Office,MT,12,,59,3,12,2,42,366,79,258,29,,,,,,,,,
Missoula City Police Dept,MT,12,67758,221,0,25,33,163,3041,378,2558,105,326.2,0,36.9,48.7,240.6,4488,557.9,3775.2,155
Missoula County Sheriff Office,MT,12,,100,0,16,5,79,479,80,358,41,,,,,,,,,
Ravalli County Sheriff Office,MT,12,,44,1,3,1,39,357,37,304,16,,,,,,,,,
Butte-Silver Bow Sheriffs Dept,MT,12,,88,0,3,6,79,1274,197,973,104,,,,,,,,,
Yellowstone County Sheriff Office,MT,12,,53,1,1,1,50,634,164,412,58,,,,,,,,,
Arnold Police Dept,MO,12,20920,30,1,3,8,18,725,53,648,24,143.4,4.8,14.3,38.2,86,3465.6,253.3,3097.5,114.7
Ballwin Police Dept,MO,12,30454,18,0,1,1,16,216,52,154,10,59.1,0,3.3,3.3,52.5,709.3,170.7,505.7,32.8
Bellefontaine Neighbors Police Dept,MO,12,10877,59,0,1,17,41,432,155,202,75,542.4,0,9.2,156.3,376.9,3971.7,1425,1857.1,689.5
Belton Police Dept,MO,12,23295,71,0,7,10,54,656,101,524,31,304.8,0,30,42.9,231.8,2816.1,433.6,2249.4,133.1
Blue Springs Police Dept,MO,12,52848,128,4,12,20,92,1767,260,1378,129,242.2,7.6,22.7,37.8,174.1,3343.6,492,2607.5,244.1
Bolivar Police Dept,MO,12,10353,47,0,2,1,44,346,71,271,4,454,0,19.3,9.7,425,3342,685.8,2617.6,38.6
Boone County Sheriff Department,MO,12,,114,0,3,14,97,779,200,530,49,,,,,,,,,
Branson Police Dept,MO,12,10759,165,0,2,20,143,1297,149,1103,45,1533.6,0,18.6,185.9,1329.1,12055,1384.9,10251.9,418.3
Bridgeton Police Dept,MO,12,11569,76,1,3,18,54,1118,88,989,41,656.9,8.6,25.9,155.6,466.8,9663.8,760.7,8548.7,354.4
Butler County Sheriff Office,MO,12,,100,0,11,7,82,672,177,460,35,,,,,,,,,
Callaway County Sheriff Office,MO,12,,53,0,1,3,49,737,209,497,31,,,,,,,,,
Camden County Sheriff Department,MO,12,,38,0,1,0,37,409,117,273,19,,,,,,,,,
Cape Girardeau Police Dept,MO,12,38474,243,3,12,66,162,2628,500,2052,76,631.6,7.8,31.2,171.5,421.1,6830.6,1299.6,5333.5,197.5
Carthage Police Dept,MO,12,14529,26,1,4,3,18,450,65,366,19,179,6.9,27.5,20.6,123.9,3097.3,447.4,2519.1,130.8
Cass County Sheriff Office,MO,12,,46,1,6,1,38,367,94,244,29,,,,,,,,,
Chesterfield Police Dept,MO,12,47560,23,0,2,7,14,755,68,667,20,48.4,0,4.2,14.7,29.4,1587.5,143,1402.4,42.1
Christian County Sheriff Office,MO,12,,55,0,0,2,53,350,124,180,46,,,,,,,,,
Clayton Police Dept,MO,12,15966,24,0,3,6,15,270,59,192,19,150.3,0,18.8,37.6,93.9,1691.1,369.5,1202.6,119
Cole County Sheriff Office,MO,12,,55,0,3,2,50,262,91,151,20,,,,,,,,,
Columbia Police Dept,MO,12,110646,476,3,41,162,270,4221,784,3294,143,430.2,2.7,37.1,146.4,244,3814.9,708.6,2977.1,129.2
Crestwood Police Dept,MO,12,11931,11,0,0,2,9,281,11,264,6,92.2,0,0,16.8,75.4,2355.2,92.2,2212.7,50.3
Creve Coeur Police Dept,MO,12,17863,17,0,4,4,9,270,46,218,6,95.2,0,22.4,22.4,50.4,1511.5,257.5,1220.4,33.6
Eureka Police Dept,MO,12,10206,11,0,1,1,9,248,21,212,15,107.8,0,9.8,9.8,88.2,2429.9,205.8,2077.2,147
Excelsior Springs Police Dept,MO,12,11255,29,0,3,2,24,495,96,367,32,257.7,0,26.7,17.8,213.2,4398,853,3260.8,284.3
Farmington Police Dept,MO,12,16317,52,0,3,3,46,788,45,722,21,318.7,0,18.4,18.4,281.9,4829.3,275.8,4424.8,128.7
Ferguson Police Dept,MO,12,21238,80,2,3,38,37,1041,247,699,95,376.7,9.4,14.1,178.9,174.2,4901.6,1163,3291.3,447.3
Festus City Police Dept,MO,12,11665,40,0,4,4,32,291,35,247,9,342.9,0,34.3,34.3,274.3,2494.6,300,2117.4,77.2
Florissant Police Dept,MO,12,52243,79,0,3,29,47,1170,244,787,139,151.2,0,5.7,55.5,90,2239.5,467,1506.4,266.1
Franklin County Sheriff Office,MO,12,,50,2,1,2,45,561,147,371,43,,,,,,,,,
Fulton Police Dept,MO,12,12833,36,0,2,9,25,463,69,379,15,280.5,0,15.6,70.1,194.8,3607.9,537.7,2953.3,116.9
Gladstone Dept Of Public Safety,MO,12,25832,73,5,3,13,52,726,125,526,75,282.6,19.4,11.6,50.3,201.3,2810.5,483.9,2036.2,290.3
Grain Valley Police Dept,MO,12,12922,30,0,5,2,23,231,42,167,22,232.2,0,38.7,15.5,178,1787.6,325,1292.4,170.3
Grandview Police Dept,MO,12,24601,90,0,5,38,47,798,209,504,85,365.8,0,20.3,154.5,191,3243.8,849.6,2048.7,345.5
Greene County Sheriff Department,MO,12,,88,1,20,6,61,1737,524,1050,163,,,,,,,,,
Hannibal Police Dept,MO,12,17914,59,0,5,10,44,1107,165,901,41,329.4,0,27.9,55.8,245.6,6179.5,921.1,5029.6,228.9
Harrisonville Police Dept,MO,12,10095,24,0,4,1,19,463,46,396,21,237.7,0,39.6,9.9,188.2,4586.4,455.7,3922.7,208
Hazelwood Police Dept,MO,12,25743,88,2,3,23,60,995,178,737,80,341.8,7.8,11.7,89.3,233.1,3865.1,691.5,2862.9,310.8
Independence Police Dept,MO,12,117433,537,5,43,127,362,7152,1253,5116,783,457.3,4.3,36.6,108.1,308.3,6090.3,1067,4356.5,666.8
Jackson Police Dept,MO,12,13964,27,0,2,0,25,338,69,257,12,193.4,0,14.3,0,179,2420.5,494.1,1840.4,85.9
Jasper County Sheriff Department,MO,12,,172,0,9,3,160,753,271,415,67,,,,,,,,,
Jefferson County Sheriff Department,MO,12,,303,5,23,12,263,2498,456,1844,198,,,,,,,,,
Jefferson City Police Dept,MO,12,43413,261,2,12,39,208,1586,235,1311,40,601.2,4.6,27.6,89.8,479.1,3653.3,541.3,3019.8,92.1
Jennings Police Dept,MO,12,14735,144,3,2,34,105,903,307,465,131,977.3,20.4,13.6,230.7,712.6,6128.3,2083.5,3155.8,889
Johnson County Sheriff Department,MO,12,,17,1,1,0,15,393,124,246,23,,,,,,,,,
Joplin Police Dept,MO,12,50654,288,2,27,70,189,3838,653,2920,265,568.6,3.9,53.3,138.2,373.1,7576.9,1289.1,5764.6,523.2
Kansas City Police Dept,MO,12,464073,5862,105,246,1647,3864,25642,6964,15088,3590,1263.2,22.6,53,354.9,832.6,5525.4,1500.6,3251.2,773.6
Kennett Police Dept,MO,12,10960,26,0,1,9,16,656,153,479,24,237.2,0,9.1,82.1,146,5985.4,1396,4370.4,219
Kirksville Police Dept,MO,12,17502,50,0,1,2,47,507,88,411,8,285.7,0,5.7,11.4,268.5,2896.8,502.8,2348.3,45.7
Kirkwood Police Dept,MO,12,27586,34,0,2,2,30,535,54,472,9,123.3,0,7.3,7.3,108.8,1939.4,195.8,1711,32.6
Lake St Louis Police Dept,MO,12,14764,15,0,1,3,11,319,22,291,6,101.6,0,6.8,20.3,74.5,2160.7,149,1971,40.6
Lebanon Police Dept,MO,12,14527,70,0,2,5,63,699,86,592,21,481.9,0,13.8,34.4,433.7,4811.7,592,4075.2,144.6
Lees Summit Police Dept,MO,12,91840,109,0,13,24,72,2127,263,1756,108,118.7,0,14.2,26.1,78.4,2316,286.4,1912,117.6
Liberty Police Dept,MO,12,29613,57,0,9,7,41,589,113,400,76,192.5,0,30.4,23.6,138.5,1989,381.6,1350.8,256.6
Lincoln County Sheriff Department,MO,12,,57,0,0,0,57,297,123,151,23,,,,,,,,,
Manchester Police Dept,MO,12,18124,9,0,1,1,7,333,40,283,10,49.7,0,5.5,5.5,38.6,1837.3,220.7,1561.5,55.2
City Of Marshall Police Dept,MO,12,13037,28,1,3,3,21,330,64,257,9,214.8,7.7,23,23,161.1,2531.3,490.9,1971.3,69
Maryland Heights Police Dept,MO,12,27518,58,0,5,11,42,592,74,489,29,210.8,0,18.2,40,152.6,2151.3,268.9,1777,105.4
Maryville Public Safety Dept,MO,12,12039,12,1,0,2,9,216,27,183,6,99.7,8.3,0,16.6,74.8,1794.2,224.3,1520.1,49.8
Mexico Public Safety Dept,MO,12,11583,38,0,5,4,29,296,49,246,1,328.1,0,43.2,34.5,250.4,2555.5,423,2123.8,8.6
Moberly Police Dept,MO,12,13966,26,0,1,7,18,584,85,476,23,186.2,0,7.2,50.1,128.9,4181.6,608.6,3408.3,164.7
Neosho City Police Dept,MO,12,11916,33,0,6,2,25,515,95,397,23,276.9,0,50.4,16.8,209.8,4321.9,797.2,3331.7,193
Newton County Sheriff Office,MO,12,,74,3,17,4,50,909,254,575,80,,,,,,,,,
Nixa Police Dept,MO,12,19339,23,0,5,1,17,357,64,287,6,118.9,0,25.9,5.2,87.9,1846,330.9,1484,31
O'Fallon Police Dept,MO,12,80670,74,2,5,4,63,1246,125,1100,21,91.7,2.5,6.2,5,78.1,1544.6,155,1363.6,26
Overland Police Dept,MO,12,16089,54,1,7,21,25,697,182,492,23,335.6,6.2,43.5,130.5,155.4,4332.2,1131.2,3058,143
Ozark City Police Dept,MO,12,18116,44,0,2,4,38,618,108,491,19,242.9,0,11,22.1,209.8,3411.3,596.2,2710.3,104.9
Platte County Sheriff Department,MO,12,,55,2,3,1,49,353,87,240,26,,,,,,,,,
Poplar Bluff City Police Dept,MO,12,17167,138,1,7,28,102,1344,265,1036,43,803.9,5.8,40.8,163.1,594.2,7829,1543.7,6034.8,250.5
Pulaski County Sheriff Department,MO,12,,154,3,12,9,130,512,221,265,26,,,,,,,,,
Raymore Police Dept,MO,12,19354,19,0,1,5,13,393,35,346,12,98.2,0,5.2,25.8,67.2,2030.6,180.8,1787.7,62
