Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Mineral Wells Police Dept,TX,12,17045,60,1,5,11,43,978,173,770,35,352,5.9,29.3,64.5,252.3,5737.8,1015,4517.5,205.3
Mission Police Dept,TX,12,80557,104,3,6,46,49,2370,423,1788,159,129.1,3.7,7.4,57.1,60.8,2942,525.1,2219.5,197.4
Missouri City Police Dept,TX,12,70819,86,0,8,34,44,879,219,613,47,121.4,0,11.3,48,62.1,1241.2,309.2,865.6,66.4
Montgomery County Sheriff Department,TX,12,,521,10,30,106,375,6076,1732,3830,514,,,,,,,,,
Mount Pleasant Police Dept,TX,12,15941,32,0,0,3,29,637,149,458,30,200.7,0,0,18.8,181.9,3996,934.7,2873.1,188.2
Murphy City Police Dept,TX,12,18662,5,0,1,0,4,127,16,110,1,26.8,0,5.4,0,21.4,680.5,85.7,589.4,5.4
Nacogdoches County Sheriff Department,TX,12,,73,0,7,3,63,450,133,289,28,,,,,,,,,
Nacogdoches Police Dept,TX,12,33905,133,1,10,27,95,1204,280,886,38,392.3,2.9,29.5,79.6,280.2,3551.1,825.8,2613.2,112.1
Nederland Police Dept,TX,12,17850,61,2,2,4,53,529,115,372,42,341.7,11.2,11.2,22.4,296.9,2963.6,644.3,2084,235.3
New Braunfels Police Dept,TX,12,60482,115,1,19,27,68,2110,300,1718,92,190.1,1.7,31.4,44.6,112.4,3488.6,496,2840.5,152.1
North Richland Hills Police Dept,TX,12,65750,170,1,18,23,128,1572,301,1195,76,258.6,1.5,27.4,35,194.7,2390.9,457.8,1817.5,115.6
Odessa Police Dept,TX,12,103635,1103,5,43,141,914,3717,770,2565,382,1064.3,4.8,41.5,136.1,881.9,3586.6,743,2475,368.6
Orange County Sheriff Department,TX,12,,93,0,7,3,83,641,246,314,81,,,,,,,,,
Orange Police Dept,TX,12,19025,112,0,2,31,79,587,256,290,41,588.7,0,10.5,162.9,415.2,3085.4,1345.6,1524.3,215.5
Palestine Police Dept,TX,12,18936,162,2,18,21,121,878,211,616,51,855.5,10.6,95.1,110.9,639,4636.7,1114.3,3253.1,269.3
Pampa Police Dept,TX,12,18452,110,0,1,6,103,794,226,541,27,596.1,0,5.4,32.5,558.2,4303.1,1224.8,2931.9,146.3
Paris Police Dept,TX,12,25693,155,3,7,35,110,1328,295,1001,32,603.3,11.7,27.2,136.2,428.1,5168.7,1148.2,3896,124.5
Parker County Sheriff Department,TX,12,,67,3,9,3,52,1174,419,684,71,,,,,,,,,
Pasadena Police Dept,TX,12,154562,622,8,52,147,415,5610,999,4087,524,402.4,5.2,33.6,95.1,268.5,3629.6,646.3,2644.2,339
Pearland Police Dept,TX,12,94702,123,1,18,28,76,1753,277,1393,83,129.9,1.1,19,29.6,80.3,1851.1,292.5,1470.9,87.6
Pflugerville Police Dept,TX,12,49483,61,1,9,6,45,802,140,637,25,123.3,2,18.2,12.1,90.9,1620.8,282.9,1287.3,50.5
Pharr Police Dept,TX,12,73599,270,0,14,44,212,2324,552,1628,144,366.9,0,19,59.8,288,3157.7,750,2212,195.7
Plainview Police Dept,TX,12,22678,61,0,5,10,46,906,181,709,16,269,0,22,44.1,202.8,3995.1,798.1,3126.4,70.6
Plano Police Dept,TX,12,273816,358,1,55,110,192,6453,1095,5043,315,130.7,0.4,20.1,40.2,70.1,2356.7,399.9,1841.7,115
Polk County Sheriff Office,TX,12,,66,0,20,7,39,742,287,406,49,,,,,,,,,
City Of Port Arthur Police Dept,TX,12,54745,344,4,19,121,200,2406,854,1428,124,628.4,7.3,34.7,221,365.3,4394.9,1560,2608.5,226.5
City Of Port Lavaca Police Dept,TX,11,12466,98,0,13,3,82,372,101,253,18,,,,,,,,,
